Device,Code,Input,cross_section_SDC_high,number_SDCs_high,cross_section_DUE_high,number_DUE_high,cross_section_SDC_thermals,number_SDCs_thermals,cross_section_DUE_thermals,number_DUE_thermals
XeonPhi,MxM,4096,27.4132492113565,132,4.76340694006309,23,3.27477867100845,60,1,10
XeonPhi,HotSpot,1024,44.1640378548896,49,47.9495268138801,53,3.9642057596418,14,8.29652996845426,16
XeonPhi,LavaMD,15,21.7665615141956,162,10.7570977917981,34,3.7573776330518,59,1.16719242902208,10
XeonPhi,LUD,4096,47.0031545741325,48,10.7570977917981,11,2.8438867406126,35,1.18927444794953,8
K20,MxM,4096,23.3307651757836,44,21.1183650298041,40,14.5054945054945,68,3.1375856615709,8
K20,YOLOv2,NA,1.42800373058676,16,6.83832772393658,77,1,10,12.288877174486,47
K20,HotSpot,1024,26.7499290377519,47,22.7273833177892,43,12.6373626373626,70,2.63476744657557,8
TitanV,MxM,8096,30.6513409961686,22,2.68199233716475,2,10.9902206154987,202,1,10
TitanX,MxM,8096,55.440414507772,103,19.8445595854922,37,8.91745361858599,64,1.27461139896373,5
TitanX,LavaMD,25,36.8911917098446,150,1.72020725388601,7,18.1180010028414,65,NA,NA
TitanX,HotSpot,1024,28.7046632124352,67,4.28497409326425,11,7.36043790740431,27,1,2
GPUembedded,CED,NA,6.04235960167821,20,13.0625284335035,41,1,12,4.56310974068645,30
GPUembedded,SC,NA,133.884648435525,112,3.58530051053935,3,44.1095890410959,52,4.66339786685538,3
GPUembedded,BFS,NA,3.53515644745489,10,18.1020067734924,46,2.3013698630137,15,15.6700197138958,56
CPU,CED,NA,7.00797872340426,28,6.50265957446809,26,1.22788156314345,28,2.40691489361702,30
CPU,SC,NA,155.585106382979,110,7.10106382978723,5,47.7348039636239,105,2.5,3
CPU,BFS,NA,2.27393617021277,66,1,29,1.88904855868222,42,2.14095744680851,26
CPU+GPU,CED,NA,16.4431572602579,45,16.4431572602579,45,2.64940239043825,12,8.45856426691757,21
CPU+GPU,SC,NA,196.515781890887,29,11.3023919083812,9,96.8127490039841,138,14.1462195498449,11
CPU+GPU,BFS,NA,13.0159803590068,8,21.1099513385572,13,1,3,18.9223916143544,31
FPGA,MNIST Double,NA,7.80442804428044,258,NA,NA,3.78024193548387,39,NA,NA
FPGA,MNIST Single,NA,3.33948339483395,198,NA,NA,1,41,NA,NA
